code.int32(),name.string(),market.string(),code_of_industry_33.int32(),industry_33.string(),code_of_industry_17.int32(),industry_17.string(),code_of_group.int32(),group.string()
9749,富士ソフト,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,6,TOPIX Small 1
9753,アイエックス・ナレッジ,JASDAQ(スタンダード・内国株）,5250,情報・通信業,10,情報通信・サービスその他,,
9755,応用地質,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
9757,船井総研ホールディングス,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
9759,ＮＳＤ,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,6,TOPIX Small 1
9760,進学会ホールディングス,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
9761,東海リース,市場第二部（内国株）,9050,サービス業,10,情報通信・サービスその他,,
9763,丸紅建材リース,市場第一部（内国株）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
9765,オオバ,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
9766,コナミホールディングス,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,4,TOPIX Mid400
9767,日建工学,市場第二部（内国株）,9050,サービス業,10,情報通信・サービスその他,,
9768,いであ,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
9769,学究社,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
9776,札幌臨床検査センター,JASDAQ(スタンダード・内国株）,9050,サービス業,10,情報通信・サービスその他,,
9778,昴,JASDAQ(スタンダード・内国株）,9050,サービス業,10,情報通信・サービスその他,,
9780,ハリマビステム,JASDAQ(スタンダード・内国株）,9050,サービス業,10,情報通信・サービスその他,,
9782,ディーエムエス,JASDAQ(スタンダード・内国株）,9050,サービス業,10,情報通信・サービスその他,,
9783,ベネッセホールディングス,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
9787,イオンディライト,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
9788,ナック,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
9790,福井コンピュータホールディングス,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,6,TOPIX Small 1
9791,ビケンテクノ,市場第二部（内国株）,9050,サービス業,10,情報通信・サービスその他,,
9793,ダイセキ,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
9795,ステップ,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
9799,旭情報サービス,市場第二部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,,
9810,日鉄物産,市場第一部（内国株）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
9812,テーオーホールディングス,JASDAQ(スタンダード・内国株）,6050,卸売業,13,商社・卸売,,
9816,ストライダーズ,JASDAQ(スタンダード・内国株）,8050,不動産業,17,不動産,,
9818,大丸エナウィン,市場第二部（内国株）,6050,卸売業,13,商社・卸売,,
9820,エムティジェネックス,JASDAQ(スタンダード・内国株）,8050,不動産業,17,不動産,,
9823,マミーマート,JASDAQ(スタンダード・内国株）,6100,小売業,14,小売,,
9824,泉州電業,市場第一部（内国株）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
9827,リリカラ,JASDAQ(スタンダード・内国株）,6050,卸売業,13,商社・卸売,,
9828,元気寿司,市場第一部（内国株）,6100,小売業,14,小売,7,TOPIX Small 2
9830,トラスコ中山,市場第一部（内国株）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
9831,ヤマダホールディングス,市場第一部（内国株）,6100,小売業,14,小売,4,TOPIX Mid400
9832,オートバックスセブン,市場第一部（内国株）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
9835,ジュンテンドー,市場第二部（内国株）,6100,小売業,14,小売,,
